threshold,precision,recall,f1
0.0045031654,0.012576933369012578,0.9591836734693877,0.024828314841607725
0.004504388,0.012578616352201259,0.9591836734693877,0.02483159423862815
0.00450444,0.012580299785867237,0.9591836734693877,0.024834874502067863
0.0045053293,0.012581983670191407,0.9591836734693877,0.024838155632270285
0.004505616,0.012583668005354752,0.9591836734693877,0.024841437629578994
0.004505633,0.012585352791538358,0.9591836734693877,0.024844720494337762
0.004505714,0.012587038028923407,0.9591836734693877,0.024848004226890548
0.0045066215,0.012588723717691175,0.9591836734693877,0.02485128882758148
0.0045070876,0.012590409858023038,0.9591836734693877,0.024854574296754882
0.0045072567,0.01259209645010047,0.9591836734693877,0.024857860634755254
0.004507417,0.012593783494105037,0.9591836734693877,0.024861147841927268
0.0045099063,0.01259547099021841,0.9591836734693877,0.024864435918615795
0.004510739,0.012597158938622354,0.9591836734693877,0.024867724865165884
0.0045110965,0.012598847339498728,0.9591836734693877,0.024871014681922758
0.004511403,0.01260053619302949,0.9591836734693877,0.02487430536923183
0.004512467,0.012602225499396703,0.9591836734693877,0.02487759692743869
0.0045127906,0.012603915258782515,0.9591836734693877,0.024880889356889122
0.0045129727,0.012605605471369184,0.9591836734693877,0.024884182657929087
0.004513069,0.012607296137339056,0.9591836734693877,0.024887476830904722
0.004516172,0.012608987256874581,0.9591836734693877,0.024890771876162364
0.0045162817,0.01261744966442953,0.9591836734693877,0.024907260198814847
0.004516498,0.012619143509195865,0.9591836734693877,0.024910560485047636
0.004516751,0.012620837808807734,0.9591836734693877,0.024913861645991856
0.0045176707,0.012622532563448368,0.9591836734693877,0.024917163681995303
0.0045177094,0.012624227773301102,0.9591836734693877,0.02492046659340597
0.0045195282,0.012625923438549362,0.9591836734693877,0.024923770380572006
0.0045203655,0.01262761955937668,0.9591836734693877,0.024927075043841777
0.0045203827,0.01262931613596668,0.9591836734693877,0.024930380583563814
0.0045214146,0.01263101316850309,0.9591836734693877,0.024933687000086833
0.004521687,0.012632710657169735,0.9591836734693877,0.024936994293759753
0.004521932,0.012634408602150538,0.9591836734693877,0.024940302464931653
0.004521936,0.012636107003629521,0.9591836734693877,0.02494361151395182
0.004522679,0.012637805861790804,0.9591836734693877,0.024946921441169705
0.004526328,0.012639505176818609,0.9591836734693877,0.024950232246934958
0.0045263944,0.012641204948897257,0.9591836734693877,0.02495354393159742
0.0045282277,0.012642905178211164,0.9591836734693877,0.0249568564955071
0.0045291907,0.012644605864944848,0.9591836734693877,0.024960169939014207
0.0045294594,0.012646307009282928,0.9591836734693877,0.024963484262469134
0.0045325886,0.01264800861141012,0.9591836734693877,0.024966799466222454
0.004533348,0.012649710671511237,0.9591836734693877,0.024970115550624936
0.0045352336,0.012651413189771197,0.9591836734693877,0.02497343251602752
0.0045360066,0.012653116166375017,0.9591836734693877,0.024976750362781346
0.0045361207,0.012654819601507808,0.9591836734693877,0.024980069091237737
0.004536696,0.012656523495354786,0.9591836734693877,0.024983388701748207
0.004536892,0.012658227848101266,0.9591836734693877,0.024986709194664444
0.0045387205,0.01265993265993266,0.9591836734693877,0.024990030570338335
0.0045393235,0.012661637931034482,0.9591836734693877,0.024993352829121955
0.004539815,0.012663343661592347,0.9591836734693877,0.024996675971367555
0.004539912,0.01266504985179197,0.9591836734693877,0.024999999997427583
0.0045400755,0.012666756501819162,0.9591836734693877,0.02500332490765467
0.0045441505,0.012668463611859838,0.9591836734693877,0.025006650702401635
0.0045445366,0.012670171182100013,0.9591836734693877,0.025009977382021487
0.0045447694,0.012671879212725803,0.9591836734693877,0.025013304946867425
0.004547778,0.01267358770392342,0.9591836734693877,0.025016633397292827
0.0045487774,0.01267529665587918,0.9591836734693877,0.025019962733651268
0.004549598,0.0126770060687795,0.9591836734693877,0.025023292956296506
0.0045511485,0.012678715942810899,0.9591836734693877,0.025026624065582495
0.00455179,0.01268042627815999,0.9591836734693877,0.025029956061863364
0.0045521837,0.012682137075013492,0.9591836734693877,0.02503328894549344
0.004553435,0.012683848333558224,0.9591836734693877,0.025036622716827245
0.0045535173,0.012685560053981106,0.9591836734693877,0.025039957376219474
0.0045539103,0.01268727223646916,0.9591836734693877,0.025043292924025025
0.004554023,0.012688984881209503,0.9591836734693877,0.025046629360598975
0.0045548053,0.01269069798838936,0.9591836734693877,0.02504996668629659
0.0045551276,0.012692411558196058,0.9591836734693877,0.025053304901473346
0.004555439,0.012694125590817016,0.9591836734693877,0.02505664400648487
0.004555962,0.012695840086439762,0.9591836734693877,0.02505998400168702
0.0045566955,0.012697555045251925,0.9591836734693877,0.025063324887435817
0.004556821,0.012699270467441232,0.9591836734693877,0.025066666664087477
